timestamp,flag,currentBack,motorTempBack,positionBack,refPositionBack,refVelocityBack,trackingDeviationBack,velocityBack,currentFront,motorTempFront,positionFront,refPositionFront,refVelocityFront,trackingDeviationFront,velocityFront
2018-01-31T09:07:00-06:00,1,44.0,31.0,571.499418640148,571.499996781367,0.0,0.000373731340680804,0.0,118.0,33.0,963.4992009844,963.499996781367,0.0,0.000539834158761161,0.0
2018-01-31T09:10:00-06:00,1,63.0,31.0,571.499335588739,571.499997586031,0.0,0.000456782749720982,0.0,116.0,33.0,963.499284035809,963.499997586031,0.0,0.00058135986328125,0.0
2018-01-31T09:11:00-06:00,1,60.0,31.0,571.499335588739,571.499997586031,0.0,0.000456782749720982,0.0,104.0,33.0,963.499325561514,963.499997586031,0.0,0.000539834158761161,0.0
2018-01-31T09:20:00-06:00,1,74.0,33.0,571.499294063037,571.499997586035,0.0,0.000539834158761161,0.0,93.0,33.0,963.499408612925,963.499997586035,0.0,0.000498308454241071,0.0
2018-01-31T09:22:00-06:00,1,69.0,33.0,571.499294063037,571.499996781374,0.0,0.000539834158761161,0.0,91.0,33.0,963.499325561516,963.499996781374,0.0,0.000519071306501116,0.0
2018-01-31T09:23:00-06:00,1,44.0,33.0,571.499418640151,571.499996781374,0.0,0.000415257045200893,0.0,121.0,33.0,963.499242510107,963.499996781374,0.0,0.00058135986328125,0.0
2018-01-31T09:24:00-06:00,1,93.0,33.0,571.499252537333,571.499997586037,0.0,0.00058135986328125,0.0,93.0,33.0,963.499367087221,963.499997586037,0.0,0.000456782749720982,0.0
2018-01-31T09:26:00-06:00,1,60.0,33.0,571.499377114447,571.499997586038,0.0,0.000456782749720982,0.0,104.0,35.0,963.499284035812,963.499997586038,0.0,0.000498308454241071,0.0
2018-01-31T09:27:00-06:00,1,69.0,33.0,571.499169485924,571.499996781376,0.0,0.000498308454241071,0.0,91.0,35.0,963.499325561517,963.499996781376,0.0,0.000539834158761161,0.0
2018-01-31T09:31:00-06:00,1,88.0,33.0,571.499169485925,571.49999758604,0.0,0.000498308454241071,0.0,88.0,35.0,963.499367087222,963.49999758604,0.0,0.000498308454241071,0.0
2018-01-31T09:39:00-06:00,1,46.0,33.0,571.499460165858,571.499996781381,0.0,0.000373731340680804,0.0,107.0,35.0,963.499367087224,963.499996781381,0.0,0.000539834158761161,0.0
2018-01-31T09:43:00-06:00,1,60.0,35.0,571.499294063041,571.499996781383,0.0,0.000456782749720982,0.0,93.0,35.0,963.499408612929,963.499996781383,0.0,0.000539834158761161,0.0
2018-01-31T09:52:00-06:00,1,77.0,35.0,571.499252537338,571.499996781386,0.0,0.000539834158761161,0.0,93.0,35.0,963.499408612931,963.499996781386,0.0,0.000498308454241071,0.0
2018-01-31T09:54:00-06:00,1,74.0,35.0,571.499211011634,571.499996781387,0.0,0.000539834158761161,0.0,93.0,37.0,963.499367087227,963.499996781387,0.0,0.000498308454241071,0.0
2018-01-31T09:55:00-06:00,1,38.0,35.0,571.499543217271,571.49999758605,0.0,0.000373731340680804,0.0,110.0,37.0,963.499367087227,963.49999758605,0.0,0.000539834158761161,0.0
2018-01-31T10:02:00-06:00,1,38.0,35.0,571.499501691567,571.499996781391,0.0,0.000332205636160714,0.0,118.0,37.0,963.499117933001,963.499996781391,0.0,0.00058135986328125,0.0
2018-01-31T10:11:00-06:00,1,46.0,37.0,571.49941864016,571.499997586057,0.0,0.000373731340680804,0.0,102.0,37.0,963.499284035821,963.499997586057,0.0,0.000539834158761161,0.0
2018-01-31T10:13:00-06:00,1,44.0,37.0,571.499377114456,571.499996781396,0.0,0.000415257045200893,0.0,102.0,37.0,963.499242510117,963.499996781396,0.0,0.00058135986328125,0.0
2018-01-31T10:14:00-06:00,1,69.0,37.0,571.499169485934,571.499996781396,0.0,0.000456782749720982,0.0,119.5,37.0,963.499325561526,963.499996781396,0.0,0.000539834158761161,0.0
2018-01-31T10:15:00-06:00,1,69.0,37.0,571.499335588752,571.499997586059,0.0,0.000539834158761161,0.0,85.0,37.0,963.499408612935,963.499997586059,0.0,0.000498308454241071,0.0
2018-01-31T10:22:00-06:00,1,60.0,37.0,571.499294063049,571.499997586062,0.0,0.000539834158761161,0.0,102.0,37.0,963.499284035823,963.499997586062,0.0,0.000539834158761161,0.0
2018-01-31T10:23:00-06:00,1,71.0,37.0,571.49921101164,571.4999967814,0.0,0.000456782749720982,0.0,116.0,37.0,963.499325561528,963.4999967814,0.0,0.000539834158761161,0.0
2018-01-31T10:25:00-06:00,1,41.0,37.0,571.499522454424,571.499996781401,0.0,0.000332205636160714,0.0,129.0,37.0,963.499117933006,963.499996781401,0.0,0.000622885567801339,0.0
2018-01-31T10:26:00-06:00,1,85.0,37.0,571.499252537345,571.499997586064,0.0,0.000622885567801339,0.0,91.0,37.0,963.499367087233,963.499997586064,0.0,0.000498308454241071,0.0
2018-01-31T10:27:00-06:00,1,49.0,37.0,571.499377114459,571.499997586064,0.0,0.000373731340680804,0.0,107.0,39.0,963.49924251012,963.499997586064,0.0,0.000539834158761161,0.0
2018-01-31T10:29:00-06:00,1,44.0,37.0,571.499335588755,571.499996781403,0.0,0.000373731340680804,0.0,107.0,39.0,963.499117933006,963.499996781403,0.0,0.00058135986328125,0.0
2018-01-31T10:30:00-06:00,1,69.0,37.0,571.499335588755,571.499997586066,0.0,0.000415257045200893,0.0,96.0,39.0,963.499325561529,963.499997586066,0.0,0.000539834158761161,0.0
